Customer ID,Age,Gender,Region,Marital Status,Education,Household Income,Loyalty Card,Loyalty Points
CID_7225,63,Female,Urban,Married,High School,68000.0,1,6
CID_10008,49,Male,Urban,Divorced,Graduate,62500.0,1,4
CID_6297,51,Female,Suburban,Widowed,Graduate,58500.0,0,NA
CID_5520,77,Female,Urban,Widowed,Graduate,52000.0,1,19
CID_6454,28,Male,Suburban,Single,NA,27500.0,0,NA
CID_9120,66,Female,Urban,Divorced,Post-Graduate,72000.0,0,NA
CID_14544,55,Female,Urban,Widowed,High School,14500.0,1,0
CID_7054,72,Male,Rural,Married,Graduate,40000.0,1,17
CID_11672,59,Male,Suburban,Married,Post-Graduate,35000.0,0,NA
CID_11096,49,Male,Rural,Single,High School,31500.0,1,53
CID_11904,75,Female,Rural,Married,Graduate,29000.0,1,21
CID_10340,77,Female,Urban,Widowed,High School,55500.0,1,18
CID_13304,51,Male,Suburban,Divorced,High School,9000.0,0,NA
CID_11699,40,Male,Urban,Married,Graduate,46500.0,0,NA
CID_11190,39,Female,Urban,Married,Graduate,8000.0,1,14
CID_11088,42,Female,Suburban,Civil partnered,High School,54000.0,1,14
CID_14624,18,Female,Urban,Married,NA,33000.0,0,NA
CID_6854,73,Male,Rural,Married,High School,81000.0,0,NA
CID_13844,68,Female,Rural,Single,Graduate,61500.0,1,25
CID_11917,70,Male,Urban,Single,Graduate,55500.0,1,24
CID_5814,40,Male,Suburban,Divorced,High School,33000.0,0,NA
CID_6257,33,Female,Urban,Civil partnered,Graduate,88500.0,1,2
CID_12611,22,Male,Suburban,Single,Post-Graduate,72000.0,0,NA
CID_12891,23,Female,Suburban,Married,Graduate,52000.0,0,NA
CID_9384,21,Male,Rural,Divorced,Graduate,30500.0,1,4
CID_8095,29,Male,Suburban,Divorced,Graduate,61000.0,0,NA
CID_6265,50,Male,Urban,Single,Graduate,67500.0,0,NA
CID_9500,70,Female,Suburban,Married,High School,40000.0,0,NA
CID_13640,49,Male,Suburban,Single,High School,55500.0,1,21
CID_12748,27,Male,Suburban,Married,Post-Graduate,32500.0,1,14
CID_7532,55,Male,Suburban,Married,High School,70000.0,0,NA
CID_6241,38,Female,Suburban,Divorced,Graduate,20000.0,1,2
CID_11966,38,Female,Urban,Divorced,Post-Graduate,76000.0,1,37
CID_5297,43,Female,Suburban,Divorced,Graduate,59000.0,1,34
CID_12392,37,Female,Suburban,Single,Graduate,47500.0,0,NA
CID_10018,41,Male,Suburban,Married,High School,53000.0,1,11
CID_10402,26,Female,Rural,Divorced,Graduate,39500.0,1,10
CID_8669,38,Male,Rural,Married,NA,75000.0,0,NA
CID_11127,61,Male,Suburban,Married,High School,24500.0,0,NA
CID_7428,46,Male,Rural,Divorced,High School,74000.0,1,12
CID_10191,74,Female,Rural,Married,High School,75500.0,0,NA
CID_7588,59,Female,Rural,Married,Graduate,33500.0,0,NA
CID_11779,74,Male,Urban,Divorced,Graduate,30000.0,1,10
CID_9681,53,Male,Suburban,Single,High School,50000.0,0,NA
CID_13344,22,Male,Urban,Married,Post-Graduate,39000.0,1,38
CID_14271,70,Male,Urban,Single,Graduate,57500.0,0,NA
CID_13965,74,Male,Suburban,Single,High School,52000.0,0,NA
CID_5491,33,Female,Rural,Married,Graduate,31500.0,1,33
CID_8769,40,Female,Suburban,Civil partnered,Graduate,77500.0,0,NA
CID_11892,74,Male,Suburban,Civil partnered,Post-Graduate,21500.0,0,NA
CID_10229,60,Female,Urban,Civil partnered,Post-Graduate,66500.0,1,3
CID_13639,33,Male,Suburban,Married,High School,80500.0,1,13
CID_5217,31,Female,Rural,Married,Graduate,84000.0,1,29
CID_10210,26,Female,Urban,Divorced,Graduate,49000.0,0,NA
CID_6475,63,Male,Suburban,Married,Graduate,32500.0,1,11
CID_12500,35,Male,Suburban,Married,Graduate,62500.0,0,NA
CID_7567,28,Male,Rural,Married,Graduate,54500.0,1,14
CID_9007,53,Female,Suburban,Civil partnered,Graduate,16500.0,0,NA
CID_9052,76,Female,Suburban,Single,High School,34500.0,1,4
CID_12323,72,Female,Rural,Divorced,Graduate,29000.0,1,28
CID_13675,73,Female,Rural,Single,High School,56500.0,0,NA
CID_14999,31,Female,Suburban,Divorced,NA,62000.0,0,NA
CID_14157,73,Female,Suburban,Single,Graduate,24000.0,1,6
CID_5168,67,Female,Urban,Married,Graduate,15500.0,0,NA
