transaction_id,customer_id,date,total_items,unique_items,total_sales,discounted_sales,browsing_duration,number_of_clicks,age,gender,region,marital_status,education,household_income,loyalty_card,loyalty_points,month,transaction_status
TRID_25516,CID_10324,2020-01-23,12,2,11.2,5.93,6.03,11,54,Male,Suburban,Married,Post-Graduate,81000.0,No,0.0,January,True
TRID_25745,CID_10324,2020-01-03,4,3,10.96,7.21,4.19,9,54,Male,Suburban,Married,Post-Graduate,81000.0,No,0.0,January,True
TRID_18569,CID_10012,2020-03-24,3,3,10.56,7.55,9.35,18,57,Female,Suburban,Single,Post-Graduate,50000.0,Yes,31.0,March,True
TRID_42586,CID_10012,2020-01-07,3,2,20.4,4.14,5.38,11,57,Female,Suburban,Single,Post-Graduate,50000.0,Yes,31.0,January,True
TRID_97307,CID_7234,2020-01-19,7,2,22.72,5.76,6.82,14,42,Female,Suburban,Married,Post-Graduate,79500.0,No,0.0,January,True
TRID_52976,CID_5471,2020-02-21,7,4,16.4,9.43,7.01,13,69,Male,Rural,Single,High School,29000.0,No,0.0,February,False
TRID_10277,CID_12411,2020-01-28,4,4,11.2,8.87,6.17,12,19,Female,Suburban,Widowed,Graduate,59000.0,No,0.0,January,False
TRID_34902,CID_12411,2020-03-07,7,4,16.72,8.99,5.58,12,19,Female,Suburban,Widowed,Graduate,59000.0,No,0.0,March,False
TRID_57952,CID_8502,2020-02-01,8,4,11.44,8.68,2.94,7,54,Female,Suburban,Divorced,Graduate,63500.0,Yes,15.0,February,False
TRID_36406,CID_11069,2020-01-22,9,2,7.84,5.7,4.78,10,52,Female,Suburban,Single,High School,84000.0,Yes,21.0,January,False
TRID_36110,CID_11069,2020-01-19,5,4,17.92,9.62,7.05,12,52,Female,Suburban,Single,High School,84000.0,Yes,21.0,January,False
TRID_33892,CID_11160,2020-03-24,8,3,19.6,7.06,6.41,12,67,Female,Suburban,Divorced,Graduate,39000.0,Yes,13.0,March,True
TRID_28568,CID_10142,2020-03-16,4,4,13.52,9.77,2.75,7,22,Female,Suburban,Civil partnered,High School,20500.0,Yes,5.0,March,False
TRID_44108,CID_10567,2020-02-26,6,5,15.68,11.27,3.29,8,56,Male,Suburban,Married,Post-Graduate,87000.0,No,0.0,February,True
