Transaction ID,Customer ID,Date,Total Items,Unique Items,Total Sales,Discounted Sales,Browsing Duration (minutes),Number of Clicks,Incomplete Transaction
TRID_21210,CID_12160,2020-03-22,8,3,22.88,7.54,3.11,7,0
TRID_83725,CID_11410,2020-01-08,4,2,22.8,4.79,7.51,15,0
TRID_10532,CID_12776,2020-02-19,5,3,14.8,7.96,8.98,16,0
TRID_88885,CID_9162,2020-02-17,5,3,13.04,6.98,5.61,11,0
TRID_68790,CID_14594,2020-01-06,14,4,9.6,9.25,6.62,14,1
TRID_53798,CID_8781,2020-03-22,6,2,19.52,5.36,3.45,8,0
TRID_78225,CID_7749,2020-02-23,7,4,13.2,9.82,6.07,12,0
TRID_44158,CID_10388,2020-03-11,10,2,15.28,5.69,7.15,15,0
TRID_25726,CID_11552,2020-03-22,3,1,7.2,3.59,7.58,16,0
TRID_36184,CID_14235,2020-01-09,6,3,24.56,6.72,4.76,10,0
TRID_46833,CID_7460,2020-02-23,3,2,13.68,5.07,6.12,13,0
TRID_48180,CID_12748,2020-02-08,5,5,19.6,10.39,7.09,14,0
TRID_51393,CID_7947,2020-03-31,5,4,12.4,9.59,9.5,19,0
TRID_19451,CID_13336,2020-01-06,6,3,7.84,7.08,5.48,10,0
TRID_91755,CID_10059,2020-02-24,4,1,9.12,3.31,5.38,11,0
TRID_98723,CID_10819,2020-03-12,4,4,10.72,9.83,6.87,14,0
TRID_10741,CID_5692,2020-02-06,4,2,13.12,4.96,6.93,12,0
TRID_1492,CID_14670,2020-01-27,5,4,20.64,8.56,7.13,15,0
TRID_76162,CID_7199,2020-01-16,3,2,22.48,4.86,7.17,14,1
TRID_54885,CID_10057,2020-01-23,6,2,10.0,4.54,3.27,8,0
TRID_26002,CID_11576,2020-03-09,5,3,12.08,6.65,6.75,13,0
TRID_61548,CID_14038,2020-03-04,2,1,17.04,3.24,4.15,8,1
TRID_64340,CID_6893,2020-02-08,7,3,9.12,6.31,5.26,9,0
TRID_21945,CID_5444,2020-03-13,7,3,10.56,6.29,6.98,13,0
TRID_42367,CID_12488,2020-01-21,5,3,18.56,7.32,1.8,5,0
TRID_61141,CID_6454,2020-03-14,3,3,8.56,7.0,4.82,11,0
TRID_54821,CID_12908,2020-01-18,8,4,12.64,8.34,9.69,17,0
TRID_95489,CID_8090,2020-03-26,3,3,11.44,6.77,4.9,10,0
TRID_50765,CID_14544,2020-01-15,5,4,10.96,8.54,7.19,14,0
TRID_4789,CID_14466,2020-02-09,11,5,12.64,11.19,2.47,5,0
TRID_27482,CID_7508,2020-01-15,6,5,13.84,11.91,3.35,8,0
TRID_27202,CID_6981,2020-02-10,6,3,25.12,7.37,2.59,6,0
TRID_40565,CID_5975,2020-02-27,9,4,13.6,8.7,8.64,16,1
TRID_7847,CID_9069,2020-03-04,3,3,11.52,6.13,7.91,14,1
TRID_8000,CID_12223,2020-03-28,4,2,18.32,5.25,6.1,13,1
TRID_19903,CID_6006,2020-01-30,6,3,9.68,6.35,5.71,13,1
TRID_63421,CID_13036,2020-03-30,15,3,13.44,6.3,6.4,13,1
TRID_13061,CID_7140,2020-01-05,5,4,19.6,9.6,6.29,12,0
TRID_9490,CID_13640,2020-03-04,4,3,18.64,6.8,5.73,13,0
TRID_98775,CID_12451,2020-03-28,2,2,9.2,4.09,5.75,12,0
TRID_62355,CID_7164,2020-01-11,8,3,13.28,6.97,7.0,12,0
TRID_74010,CID_12415,2020-03-02,2,1,12.16,3.58,4.5,10,0
TRID_37919,CID_7191,2020-02-04,4,3,8.88,6.31,7.14,16,0
TRID_52821,CID_8764,2020-01-02,8,2,16.88,5.0,5.7,13,0
TRID_6197,CID_8422,2020-02-16,2,1,14.72,2.28,2.55,6,1
TRID_84551,CID_8992,2020-01-13,7,3,28.96,6.2,4.13,7,1
TRID_42167,CID_10616,2020-02-25,5,4,12.4,8.07,2.88,6,0
TRID_44600,CID_11969,2020-03-17,4,2,15.04,5.36,7.25,12,0
TRID_11911,CID_13785,2020-03-03,12,4,12.08,8.66,9.74,20,1
TRID_72663,CID_9945,2020-03-25,5,3,25.2,6.74,7.85,15,0
TRID_46654,CID_8576,2020-01-25,17,3,17.6,7.29,5.4,11,1
TRID_49482,CID_7505,2020-01-06,5,4,11.44,8.9,1.17,4,0
TRID_96700,CID_13370,2020-01-01,5,4,13.92,8.37,6.41,13,0
TRID_16412,CID_7459,2020-03-11,6,2,17.2,4.67,5.88,12,0
